FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATA_CODING	Path	Category	Field	ValueType
74						UK Biobank Assessment Centre > Biological sampling > Blood sample collection	100002	Fasting time	Integer
77						UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	100018	"Heel bone ultrasound T-score, manual entry"	Continuous
78						UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	100018	"Heel bone mineral density (BMD) T-score, automated"	Continuous
84					37	UK Biobank Assessment Centre > Verbal interview > Medical conditions	100074	Cancer year/age first occurred	Integer
87		YES-POLYMORPHIC			37	UK Biobank Assessment Centre > Verbal interview > Medical conditions	100074	Non-cancer illness year/age first occurred	Integer
92		YES-POLYMORPHIC			37	UK Biobank Assessment Centre > Verbal interview > Operations	100076	Operation year/age first occurred	Integer
93						UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	"Systolic blood pressure, manual reading"	Integer
94						UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	"Diastolic blood pressure, manual reading"	Integer
95						UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	Pulse rate (during blood-pressure measurement)	Integer
96						UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	Time since interview start at which blood pressure screen(s) shown	Integer
102						UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	"Pulse rate, automated reading"	Integer
111					7	UK Biobank Assessment Centre > Procedural metrics	100004	Aide-memoire completed	Categorical single
120					100258	UK Biobank Assessment Centre > Verbal interview > Early life factors	100072	Birth weight known	Categorical single
129						UK Biobank Assessment Centre > Verbal interview > Early life factors	100072	Place of birth in UK - north co-ordinate	Integer
130						UK Biobank Assessment Centre > Verbal interview > Early life factors	100072	Place of birth in UK - east co-ordinate	Integer
132					2	UK Biobank Assessment Centre > Verbal interview > Employment	100073	Job code	Categorical single
134						UK Biobank Assessment Centre > Verbal interview > Medical conditions	100074	Number of self-reported cancers	Integer
135						UK Biobank Assessment Centre > Verbal interview > Medical conditions	100074	Number of self-reported non-cancer illnesses	Integer
136						UK Biobank Assessment Centre > Verbal interview > Operations	100076	"Number of operations, self-reported"	Integer
137						UK Biobank Assessment Centre > Verbal interview > Medications	100075	Number of treatments/medications taken	Integer
189						Population characteristics > Baseline characteristics	100094	Townsend deprivation index at recruitment	Continuous
190					1965	Population characteristics > Ongoing characteristics	2	Reason lost to follow-up	Categorical single
393		YES-ACE			1200	UK Biobank Assessment Centre > Recruitment > Consent	100023	Program (tactus) version ID (compiler timestamp)	Categorical single
396						UK Biobank Assessment Centre > Cognitive function > Pairs matching	100030	Number of columns displayed in round	Integer
397						UK Biobank Assessment Centre > Cognitive function > Pairs matching	100030	Number of rows displayed in round	Integer
398						UK Biobank Assessment Centre > Cognitive function > Pairs matching	100030	Number of correct matches in round	Integer
399						UK Biobank Assessment Centre > Cognitive function > Pairs matching	100030	Number of incorrect matches in round	Integer
400					402	UK Biobank Assessment Centre > Cognitive function > Pairs matching	100030	Time to complete round	Integer
401		YES-CAT-SIN-MUL-VAL			92	UK Biobank Assessment Centre > Cognitive function > Reaction time	100032	Index for card A in round	Categorical single
402		YES-CAT-SIN-MUL-VAL			92	UK Biobank Assessment Centre > Cognitive function > Reaction time	100032	Index for card B in round	Categorical single
403						UK Biobank Assessment Centre > Cognitive function > Reaction time	100032	Number of times snap-button pressed	Integer
404						UK Biobank Assessment Centre > Cognitive function > Reaction time	100032	Duration to first press of snap-button in each round	Integer
630						UK Biobank Assessment Centre > Procedural metrics	100004	Time to complete touchscreen questionnaire	Integer
670					100286	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household	100066	Type of accommodation lived in	Categorical single
680					100287	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household	100066	Own or rent accommodation lived in	Categorical single
699					100290	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household	100066	Length of time at current address	Integer
709					100291	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household	100066	Number in household	Integer
728					100293	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household	100066	Number of vehicles in household	Categorical single
738					100294	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household	100066	Average total household income before tax	Categorical single
757					100290	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	100064	Time employed in main current job	Integer
767					100291	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	100064	Length of working week for main job	Integer
777						UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	100064	Frequency of travelling from home to job workplace	Integer
796					100300	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	100064	Distance between home and job workplace	Integer
806					100301	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	100064	Job involves mainly walking or standing	Categorical single
816					100301	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	100064	Job involves heavy manual or physical work	Categorical single
826					100301	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment	100064	Job involves shift work	Categorical single
845					100306	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education	100063	Age completed full time education	Integer
864					100307	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Number of days/week walked 10+ minutes	Integer
874					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of walks	Integer
884					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Number of days/week of moderate physical activity 10+ minutes	Integer
894					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of moderate activity	Integer
904					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Number of days/week of vigorous physical activity 10+ minutes	Integer
914					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of vigorous activity	Integer
924					100313	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Usual walking pace	Categorical single
943					100314	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of stair climbing in last 4 weeks	Categorical single
971					100317	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of walking for pleasure in last 4 weeks	Categorical single
981					100318	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration walking for pleasure	Categorical single
991					100317	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of strenuous sports in last 4 weeks	Categorical single
1001					100318	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of strenuous sports	Categorical single
1011					100317	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of light DIY in last 4 weeks	Categorical single
1021					100318	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of light DIY	Categorical single
1031					100327	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support	100061	Frequency of friend/family visits	Categorical single
1050					100329	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Time spend outdoors in summer	Integer
1060					100329	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Time spent outdoors in winter	Integer
1070					100329	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Time spent watching television (TV)	Integer
1080					100329	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Time spent using computer	Integer
1090					100329	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Time spent driving	Integer
1100					100334	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Drive faster than motorway speed limit	Categorical single
1110					100335	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Length of mobile phone use	Categorical single
1120					100336	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Weekly usage of mobile phone in last 3 months	Categorical single
1130					100337	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Hands-free device/speakerphone use with mobile phone in last 3 month	Categorical single
1140					100338	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Difference in mobile phone use compared to two years previously	Categorical single
1150					100339	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Usual side of head for mobile phone use	Categorical single
1160					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	100057	Sleep duration	Integer
1170					100341	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	100057	Getting up in morning	Categorical single
1180					100342	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	100057	Morning/evening person (chronotype)	Categorical single
1190					100343	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	100057	Nap during day	Categorical single
1200					100343	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	100057	Sleeplessness / insomnia	Categorical single
1210					100345	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	100057	Snoring	Categorical single
1220					100346	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep	100057	Daytime dozing / sleeping (narcolepsy)	Categorical single
1239					100347	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	100058	Current tobacco smoking	Categorical single
1249					100348	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	100058	Past tobacco smoking	Categorical single
1259					100370	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	100058	Smoking/smokers in household	Categorical single
1269					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	100058	Exposure to tobacco smoke at home	Integer
1279					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	100058	Exposure to tobacco smoke outside home	Integer
1289					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Cooked vegetable intake	Integer
1299					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Salad / raw vegetable intake	Integer
1309					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Fresh fruit intake	Integer
1319					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Dried fruit intake	Integer
1329					100377	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Oily fish intake	Categorical single
1339					100377	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Non-oily fish intake	Categorical single
1349					100377	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Processed meat intake	Categorical single
1359					100377	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Poultry intake	Categorical single
1369					100377	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Beef intake	Categorical single
1379					100377	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Lamb/mutton intake	Categorical single
1389					100377	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Pork intake	Categorical single
1408					100377	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Cheese intake	Categorical single
1418					100387	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Milk type used	Categorical single
1428					100388	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Spread type	Categorical single
1438					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Bread intake	Integer
1448					100391	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Bread type	Categorical single
1458					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Cereal intake	Integer
1468					100393	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Cereal type	Categorical single
1478					100394	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Salt added to food	Categorical single
1488					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Tea intake	Integer
1498					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Coffee intake	Integer
1508					100397	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Coffee type	Categorical single
1518					100398	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Hot drink temperature	Categorical single
1528					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Water intake	Integer
1538					100400	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Major dietary changes in the last 5 years	Categorical single
1548					100401	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Variation in diet	Categorical single
1558					100402	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol intake frequency.	Categorical single
1568					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly red wine intake	Integer
1578					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly champagne plus white wine intake	Integer
1588					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly beer plus cider intake	Integer
1598					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly spirits intake	Integer
1608					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly fortified wine intake	Integer
1618					100416	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol usually taken with meals	Categorical single
1628					100417	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol intake versus 10 years previously	Categorical single
1647					100420	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Country of birth (UK/elsewhere)	Categorical single
1677					100349	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Breastfed as a baby	Categorical single
1687					100428	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Comparative body size at age 10	Categorical single
1697					100429	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Comparative height size at age 10	Categorical single
1707					100430	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Handedness (chirality/laterality)	Categorical single
1717					100431	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Skin colour	Categorical single
1727					100432	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Ease of skin tanning	Categorical single
1737					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Childhood sunburn occasions	Integer
1747					100434	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	"Hair colour (natural, before greying)"	Categorical single
1757					100435	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Facial ageing	Categorical single
1767					100349	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Adopted as a child	Categorical single
1777					100349	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Part of a multiple birth	Categorical single
1787					100349	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Maternal smoking around birth	Categorical single
1797					100349	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Father still alive	Categorical single
1807					100291	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Father's age at death	Integer
1835					100349	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Mother still alive	Categorical single
1845					100291	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Mother's age	Integer
1873					100291	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Number of full brothers	Integer
1883					100291	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Number of full sisters	Integer
1920					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Mood swings	Categorical single
1930					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Miserableness	Categorical single
1940					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Irritability	Categorical single
1950					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Sensitivity / hurt feelings	Categorical single
1960					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Fed-up feelings	Categorical single
1970					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Nervous feelings	Categorical single
1980					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Worrier / anxious feelings	Categorical single
1990					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Tense / 'highly strung'	Categorical single
2000					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Worry too long after embarrassment	Categorical single
2010					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Suffer from 'nerves'	Categorical single
2020					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	"Loneliness, isolation"	Categorical single
2030					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Guilty feelings	Categorical single
2040					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Risk taking	Categorical single
2050					100484	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of depressed mood in last 2 weeks	Categorical single
2060					100484	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of unenthusiasm / disinterest in last 2 weeks	Categorical single
2070					100484	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of tenseness / restlessness in last 2 weeks	Categorical single
2080					100484	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of tiredness / lethargy in last 2 weeks	Categorical single
2090					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	"Seen doctor (GP) for nerves, anxiety, tension or depression"	Categorical single
2100					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	"Seen a psychiatrist for nerves, anxiety, tension or depression"	Categorical single
2110					100501	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support	100061	Able to confide	Categorical single
2129					100503	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Answered sexual history questions	Categorical single
2139					100504	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Age first had sexual intercourse	Integer
2149					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Lifetime number of sexual partners	Integer
2159					100352	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Ever had same-sex intercourse	Categorical single
2178					100508	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health	100042	Overall health rating	Categorical single
2188					100349	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health	100042	"Long-standing illness, disability or infirmity"	Categorical single
2207					100352	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight	100041	Wears glasses or contact lenses	Categorical single
2217					100291	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight	100041	Age started wearing glasses or contact lenses	Integer
2227					100352	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight	100041	Other eye problems	Categorical single
2237					100639	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Plays computer games	Categorical single
2247					100631	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Hearing	100043	Hearing difficulty/problems	Categorical single
2257					100349	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Hearing	100043	Hearing difficulty/problems with background noise	Categorical single
2267					100536	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Use of sun/uv protection	Categorical single
2277					100537	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Frequency of solarium/sunlamp use	Integer
2296					100539	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health	100042	Falls in the last year	Categorical single
2306					100540	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health	100042	Weight change compared with 1 year ago	Categorical single
2316					100349	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Breathing	100037	Wheeze or whistling in the chest in last year	Categorical single
2335					100349	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Chest pain	100039	Chest pain or discomfort	Categorical single
2345					100349	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Cancer screening	100040	Ever had bowel cancer screening	Categorical single
2355					100567	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Cancer screening	100040	Most recent bowel cancer screening	Integer
2365					100349	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Cancer screening	100040	Ever had prostate specific antigen (PSA) test	Categorical single
2375					100570	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Relative age of first facial hair	Categorical single
2385					100570	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Relative age voice broke	Categorical single
2395					100572	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Hair/balding pattern	Categorical single
2405					100291	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Number of children fathered	Integer
2415					100603	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Operations	100047	Had major operations	Categorical single
2443					100349	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	100044	Diabetes diagnosed by doctor	Categorical single
2453					100603	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	100044	Cancer diagnosed by doctor	Categorical single
2463					100349	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	100044	Fractured/broken bones in last 5 years	Categorical single
2473					100603	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions	100044	Other serious medical condition/disability diagnosed by doctor	Categorical single
2492					100603	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication	100045	Taking other prescription medications	Categorical single
2624					100317	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of heavy DIY in last 4 weeks	Categorical single
2634					100318	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of heavy DIY	Categorical single
2644					100349	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	100058	"Light smokers, at least 100 smokes in lifetime"	Categorical single
2654					100389	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Non-butter spread type details	Categorical single
2664					100418	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Reason for reducing amount of alcohol drunk	Categorical single
2674					100349	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever had breast cancer screening / mammogram	Categorical single
2684					100567	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Years since last breast cancer screening / mammogram	Integer
2694					100349	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever had cervical smear test	Categorical single
2704					100569	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Years since last cervical smear test	Integer
2714					100291	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age when periods started (menarche)	Integer
2724					100579	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Had menopause	Categorical single
2734					100584	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Number of live births	Integer
2744					100585	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Birth weight of first child	Integer
2754					100586	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age at first live birth	Integer
2764					100586	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age at last live birth	Integer
2774					100349	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	"Ever had stillbirth, spontaneous miscarriage or termination"	Categorical single
2784					100349	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever taken oral contraceptive pill	Categorical single
2794					100291	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age started oral contraceptive pill	Integer
2804					100595	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age when last used oral contraceptive pill	Integer
2814					100349	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever used hormone-replacement therapy (HRT)	Categorical single
2824					100291	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age at hysterectomy	Integer
2834					100599	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Bilateral oophorectomy (both ovaries removed)	Categorical single
2844					100603	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Operations	100047	Had other major operations	Categorical single
2867					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	100058	Age started smoking in former smokers	Integer
2877					100351	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking	100058	Type of tobacco previously smoked	Categorical single
